ctyfips,county,stfips,state,zip,cd,dma,dma name
18003,Allen,,IN,46857,,509,FORT WAYNE
18003,Allen,,IN,46858,,509,FORT WAYNE
18003,Allen,,IN,46859,,509,FORT WAYNE
18003,Allen,,IN,46860,,509,FORT WAYNE
18003,Allen,,IN,46861,,509,FORT WAYNE
18003,Allen,,IN,46862,,509,FORT WAYNE
18003,Allen,,IN,46863,,509,FORT WAYNE
18003,Allen,,IN,46864,,509,FORT WAYNE
18003,Allen,,IN,46865,,509,FORT WAYNE
18003,Allen,,IN,46866,,509,FORT WAYNE
18003,Allen,,IN,46867,,509,FORT WAYNE
18003,Allen,,IN,46868,,509,FORT WAYNE
18003,Allen,,IN,46869,,509,FORT WAYNE
18003,Allen,,IN,46885,,509,FORT WAYNE
18003,Allen,,IN,46895,,509,FORT WAYNE
18003,Allen,,IN,46896,,509,FORT WAYNE
18003,Allen,,IN,46897,,509,FORT WAYNE
18003,Allen,,IN,46898,,509,FORT WAYNE
18003,Allen,,IN,46899,,509,FORT WAYNE
18005,Bartholomew,,IN,47201,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47202,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47203,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47226,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47232,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47236,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47244,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47246,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47247,,527,INDIANAPOLIS
18005,Bartholomew,,IN,47280,,527,INDIANAPOLIS
18007,Benton,,IN,47917,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47921,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47942,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47944,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47970,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47971,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47984,,582,"LAFAYETTE, IN"
18007,Benton,,IN,47986,,582,"LAFAYETTE, IN"
18009,Blackford,,IN,47348,,527,INDIANAPOLIS
18009,Blackford,,IN,47359,,527,INDIANAPOLIS
18011,Boone,,IN,46052,,527,INDIANAPOLIS
18011,Boone,,IN,46071,,527,INDIANAPOLIS
18011,Boone,,IN,46075,,527,INDIANAPOLIS
18011,Boone,,IN,46077,,527,INDIANAPOLIS
18011,Boone,,IN,46102,,527,INDIANAPOLIS
18011,Boone,,IN,46147,,527,INDIANAPOLIS
18013,Brown,,IN,46160,,527,INDIANAPOLIS
18013,Brown,,IN,47435,,527,INDIANAPOLIS
18013,Brown,,IN,47448,,527,INDIANAPOLIS
18015,Carroll,,IN,46913,,527,INDIANAPOLIS
